id,title,property_type,price_eur,city,neighborhood,lat,lon,size_sqm,rooms,year_built,floor,max_floor,parking,heating,dist_to_metro_min,dist_to_park_min,description,source_url,region,neighborhood_real
289632433,unknown,apartment,47900,Bucuresti,Sectorul 6,44.4429,26.01849,31.0,1.0,,5.0,,unknown,central_heating,,,"Ansamblul CRINULUI REZIDENTIAL 6 este situat in partea de vest a Bucurestiului, zona , Strada Apeductului Nr. 101 si se adreseaza persoanelor care isi doresc o casa noua cu un standard de executie ridicat si finisaje de cea mai buna calitate. Apartamentele sunt luminoase, spatioase si au dotari complete (centrala proprie, ferestre termopan, usa metalica, obiecte sanitare, faianta, gresie, parchet, etc.). Ansamblul CRINULUI REZIDENTIAL 6 reuneste intr-un mod armonios luxul cu utilul la un pret de achizitie accesibil. Imobilele noastre au un regim de inaltime redus, format din P+5E+POD - cladirile respectand toate normele de constructie in vigoare atat din punct de vedere seismic cat si din punct de vedere al izolarii termice si fonice.",https://www.olx.ro/d/oferta/garsoniera-decomandata-tva-21-inclus-IDjBgCR.html,,
295657718,rent,apartment,590,Bucuresti,Sectorul 2,44.45961,26.14911,48.0,2.0,,1.0,,unknown,unknown,2.0,,"Apartament 2 camere, semidecomandat, et 2/7. Zona Iancului. 2 min de metrou. Apartamentul este proaspăt renovat. Instalația electrică, sanitara, parchet, gresie faianța sunt noi și moderne. Apartamentul este dotat cu AC, boiler, mașina de spalat vase, mașina de spalat rufe.",https://www.olx.ro/d/oferta/inchiriez-apartament-2-camere-iancului-metrou-IDk0y4S.html,,
295661842,rent,apartment,900,Bucuresti,Sectorul 6,44.4429,26.01849,65.0,2.0,,9.0,,yes,unknown,15.0,3.0,"Apartament Premium 2 camere - Lujerului in complex rezidential Exigent Plaza Se ofera spre inchiriere un apartament modern cu 2 camere, situat in zona Lujerului, intr-un complex linistit, la doar 10-15 minute de mers pe jos pana la statia de metrou,  tramvai, centre comerciale Plazza Mall si Afi Cotroceni, supermerket-uri si facilitati urbane. La doar 3 minute de Parcul Liniei, Etajul 9 din 11, apartamentul este luminos, cu o priveliste frumosa si intr-o zona foarte linistita, fiind amplasat intr-un imobil modern, cu 2 lifturi si parcare subterana. Apartamentul are finisaje premium, electrocasnice Samsung, Bosch, Whirpool si se ofera spre inchiriere in varianta mobilat si utilat. Apartamentul este la prima inchiriere . Chirie 900 EUR/luna cu TVA inclus. Nu rata aceasta oferta! Contacteaza-ne pentru vizionare si mai multe detalii.",https://www.olx.ro/d/oferta/inchiriez-apartament-premium-2-camere-exigent-plaza-parcul-liniei-IDk0z9o.html,,
293904308,rent,spatiu depozitare,200,Bucuresti,Sectorul 2,44.45961,26.14911,,,,,,yes,unknown,,,"Ai nevoie de un loc sigur și curat pentru lucrurile tale? Indiferent dacă te muți, renovezi sau pur și simplu nu mai ai loc în casă, îți ofer boxe moderne de depozitare, ideale pentru: • mobilă, • scule și unelte, • biciclete, • obiecte personale și alte bunuri. Locație: Complexul rezidențial Rose Garden, lângă Kaufland Colentina Un spațiu sigur și ușor accesibil, cu: ! Pază 24/24 ! Supraveghere video în tot complexul + cameră video pe culoarul boxelor ! Ventilație permanentă, pentru a preveni umezeala ! Acces facil, direct din parcare subterană Tarife: Boxă 2,7 m² – 200 lei/lună Boxă 5,5 m² – 380 lei/lună Perfecte pentru cei care: • se mută și au nevoie temporar de un spațiu sigur • vor să elibereze apartamentul de lucruri sezonale • au nevoie de o soluție de depozitare curată și accesibilă, aproape de centru Contactează-mă pentru detalii sau vizionare!",https://www.olx.ro/d/oferta/inchiriez-boxe-spatioase-in-zona-obor-stefan-cel-mare-colentina-IDjTbV4.html,,
293157003,rent,apartment,560,Bucuresti,Sectorul 6,44.4429,26.01849,59.0,2.0,,7.0,,yes,central_heating,,,"Va propun spre inchiriere un apartament cu 2 camere, situat la etajul 7 din 11, in cadrul complexului rezidential Novum Lacul Morii 1 Cu o suprafata de 59 metri patrati utili, locuinta este compartimentata eficient si modern, fiind formata din living , bucatarie, dormitor, baie, hol si balcon mobilat, cu vedere directa catre Lacul Morii. Livingul este spatios si amenajat cu o canapea confortabila , smart TV cu diagonala mare, lumini ambientale si aer conditionat Samsung, un seif pentru depozitare acte si lucruri de valoare. Bucataria  echipata complet cu electrocasnice incorporate: frigider, cuptor electric, plita, hota, masina de spalat , numeroase spatii de depozitare si un loc de luat masa, blat din piatră Dormitorul este si el complet mobilat, cu un pat matrimonial tapitat, prevazut cu lada de depozitare si un dressing generos dispus pe un perete intreg, cu usi oglinda. Baia este dotata cu cada, oglinda cu iluminare LED . Holul a fost gandit pentru a oferi cat mai mult spatiu de depozitare, fiind mobilat cu un dressing pe toata lungimea, cu usi tip oglinda. Balconul ofera o panorama deosebita catre Lacul Morii si este mobilat cu un set de terasa format din doua fotolii si o masuta de cafea. Intreg apartamentul este mobilat si utilat cu mobilier premium, provenit de la  Mobexpert. Incalzirea se realizeaza prin centrala termica proprie, cu calorifere si reglaj de temperatura prin termostat ambiental. Se inchiriaza exact ca in fotografii, complet mobilat si utilat. Locul de parcare este situat in lateralul blocului,chiar sub balconul locuinței, si costa 60 euro,optional. Zona este una extrem de bine conectata si accesibila, oferind proximitate fata de Lacul Morii, Bulevardul Uverturii, Soseaua Virtutii, Pasajul Ciurel, statii de metrou precum Gorjului, Petrache Poenaru si Lujerului, dar si artere importante precum Iuliu Maniu, cu iesire rapida catre Chiajna si Rosu. In imediata vecinatate se regasesc centre comerciale, supermarketuri, piete, restaurante, terenuri de sport, locuri de joaca, sali de fitness, gradinite, scoli, facultati si spalatorii auto. Imobilul are clasa energetica A. Hai la vizionare !",https://www.olx.ro/d/oferta/novumresidence-lacul-mori-2-camere-prima-inchiriere-0-comision-IDjQ3vL.html,,
294893985,sale,apartment,73500,Bucuresti,Sectorul 4,44.39319,26.1163,51.0,2.0,,1.0,,unknown,unknown,,,"Oferta! Vand 2 camere, etaj 1/10 Apartamentul prezentat, necesita renovare! SECTOR 4 - Alexandru Obregia - Disponibil Imediat - SUPER OFERTA Apartament 2 camere – Bulevardul Alexandru Obregia Zonă verde, liniștită, cu multiple facilități Îți propun spre achiziție un apartament de 2 camere, cu o suprafață de 51 mp, situat la etajul 1/9, pe unul dintre cele mai apreciate bulevarde din Sectorul 4 – Alexandru Obregia. Avantaje: Mall Grand Arena, Selgros, Lidl, Auchen. Zonă plină de spații verzi și liniște, perfectă pentru locuit Acces rapid la mijloace de transport în comun, școli, grădinițe, magazine, piata Straduintei. Preț: 73.500 Euro – Se acceptă și credit ipotecar Bogdan 07******64",https://www.olx.ro/d/oferta/oferta-vanzare-2-camere-bul-alexandru-obregia-metrou-piata-sudului-IDjXloB.html,,
294691789,sale,land,165000,Bucuresti,Sectorul 1,44.47991,26.06407,500.0,4.0,,,,yes,unknown,10.0,,"Teren intravilan 500 mp – Băneasa, Sector 1 | Toate utilitățile | Investiție excelentă – 165000€ Vânzare directă de la proprietar – fără comision, fără colaborare cu agenții! Locație: Șoseaua București–Târgoviște nr. 11A, Băneasa, Sector 1, București Acces excelent: doar 10 minute de mers pe jos până la metrou Suprafață totală: 500 mp Certificat de urbanism valabil până la: 25.06.2026 Preț: 175.000 € Detalii teren •	Suprafață totală: 500 mp •	Deschidere la stradă: 18 m •	Lungime: 28 m •	Teren drept, cu formă regulată •	Toate utilitățile pe teren: apă, curent electric, gaze, canalizare •	Extras de Carte Funciară la zi, fără sarcini •	Certificat de urbanism valabil până în iunie 2026 Regim urbanistic (conform C.U.) •	Zonare: L1e – locuințe individuale și colective mici, cu regim redus de înălțime •	Regim maxim admis: P+2E+M •	POT (procent de ocupare teren): 45% •	CUT: 0,9 pentru P+1 / 1,3 pentru P+2 •	Se pot edifica: •	Locuințe colective mici (bloc P+2+M) •	Locuințe individuale sau duplexuri Posibilități de dezvoltare Terenul este ideal pentru: •	Bloc P+2 + etaj retras, cu următoarea configurare: •	Parter: 1–2 spații comerciale + apartament cu 4 camere și curte proprie •	Etajele 1 și 2: studio, apartament cu 2 camere și unul cu 3 camere pe fiecare nivel •	Etaj retras: penthouse cu vedere la lac •	Curte comună + 6 locuri de parcare Sau: •	2 locuințe individuale / duplexuri, cu amprentă de 80 mp fiecare (P+1+M) și curte interioară de 170 mp fiecare. Acte și documentație •	Acte complete, pregătite pentru vânzare •	Proiect aprobat pentru o locuință individuală •	Certificat de urbanism ce permite obținerea rapidă a autorizației de construire Contact direct proprietar: 07********31 Pentru mai multe detalii sau vizionare, nu ezitați să mă sunați!",https://www.olx.ro/d/oferta/posibilitate-de-investitie-teren-intravilan-500-mp-baneasa-IDjVuNn.html,,
294609572,rent,house,1350,Bucuresti,Sectorul 3,44.4294,26.128992,168.0,,,,,yes,unknown,,,"Casa are curte proprie (32 mp) care nu este la stradă, aflată într-o curte mai mare cu alte 3 proprietăți, fiecare cu curte proprie. Zona este linistita La parter (70.5 mp utili) avem holul de intrare, un dormitor mare, o sufragerie și bucătărie deschisă, un dormitor/birou mic, o baie mare și o baie mică. La etaj avem o cameră de trecere, o sufragerie, un dormitor mare și două dormitoare/birouri mici (72.3 mp utili). La subsol avem două camere cu spații de depozitare și tehnice (25.6 mp). Casa este potrivită pentru o familie cu copii, datorită numarului de camere. Nu are loc de parcare dedicat, se poate face cerere pentru loc de parcare nenominal pentru care se plătește taxă, conform reglementărilor locale din sectorul 3. Contractele de internet si de salubritate se incheie de catre chirias. Casa are multe spații de depozitare, este dotată cu aer condiționat și centrală termică pe gaze. Se inchiriaza mobilată complet. Casa mai are o anexă de 15 mp (folosită pentru depozitare). Inchirierea este pe minim un an, cu doua chirii garantie.",https://www.olx.ro/d/oferta/proprietar-inchiriere-casa-168-mp-langa-piata-alba-iulia-bucuresti-IDjV9pi.html,,
295853677,rent,apartment,380,Bucuresti,Sectorul 4,44.39319,26.1163,32.0,1.0,1977.0,8.0,,unknown,unknown,2.0,,"Proprietar, ofer spre închiriere garsoniera situata central, zona deosebita,  proaspat renovata, mobila noua, boiler, AC, totul nou, situata la 2 minute de metrou Timpuri Noi. Bloc din 1989, reabilitat,  camere de supraveghere,  parcul Tineretului aproape, magazine. Fără animale de companie, doar pentru persoane serioase, de preferat o doamna/d-soara sau un cuplu, pentru termen lung. Va aștept la vizionare !",https://www.olx.ro/d/oferta/proprietar-inchiriez-garsoniera-la-2-min-de-metrou-timpuri-noi-IDk1n3w.html,,
295854803,rent,apartment,400,Bucuresti,Sectorul 6,44.41977,26.008823,42.0,1.0,,4.0,,yes,unknown,4.0,5.0,"Ofer spre închiriere un studio spațios, 42 mp utili, complet decomandat, situat la etajul 4 al unui imobil modern din zona Drumul Taberei – Brâncuși. Dotări și beneficii: Studio complet mobilat și utilat; Centrală termică proprie; Aer condiționat; Balcon generos, deschis; Loc de parcare inclus în preț. Locație excelentă: 4 minute până la stația de metrou Valea Ialomiței; 3 minute până la stația de autobuz; Magazine în proximitate: Mega Image, Kaufland, Lidl – toate la max. 5 minute; Parcul „Constantin Brâncuși” la doar 2 minute de mers pe jos. Ideal pentru o persoană sau un cuplu care își dorește confort, liniște și acces rapid la transportul în comun.",https://www.olx.ro/d/oferta/studio-de-inchiriat-drumul-taberei-brancusi-cu-loc-de-parcare-IDk1nlF.html,,
